Address,Price,Link
"256A & 258 Honeywell Lane, Oldham, Greater Manchester, OL8 
 23  11 

Virtual Viewing","£750,000",https://edwardmellor.co.uk/property-for-sale/10155523/
"9b  Crowthorn Road Heaton Chapel, Stockport, Greater Manchester, SK4 
 2  2  2 

Virtual Viewing","£148,000",https://edwardmellor.co.uk/property-for-sale/10154952/
"Alder Grove, Edgeley, Stockport, Cheshire, SK3 
 3  1 

Virtual Viewing","£119,000",https://edwardmellor.co.uk/property-for-sale/10157604/
"Annex, Park Lodge, 190 Buxton Road, Great Moor, Stockport, Greater Manchester, SK2","£120,000",https://edwardmellor.co.uk/property-for-sale/10157139/
"Apartment 29, Freshfields, Spindletree Avenue, Blackley, Manchester, M9 
 2  1  1","£60,000",https://edwardmellor.co.uk/property-for-sale/10157330/
"Apartment 30 Boteler Court, Elphins Drive, Warrington, Cheshire, WA4 
 2  1  1","£120,000",https://edwardmellor.co.uk/property-for-sale/10153234/
"Apartment 51, 54 Cherry Street, Sheffield, South Yorkshire, S2 
 2  1  1","£85,000",https://edwardmellor.co.uk/property-for-sale/10157722/
"Apartment 51, T4, 31 Lakeside Rise, Blackley, Manchester, M9 
 1  1  1 

Virtual Viewing","£60,000",https://edwardmellor.co.uk/property-for-sale/10156949/
"Barracks Square, Macclesfield, Cheshire, SK11","£20,000",https://edwardmellor.co.uk/property-for-sale/10157583/
"Batley Street, Mossley, Ashton-under-Lyne, Greater Manchester, OL5 
 2  1  1","£110,000",https://edwardmellor.co.uk/property-for-sale/10150691/
"Beacon Road, Romiley, Stockport, Greater Manchester, SK6 
 3  1  2","£220,000",https://edwardmellor.co.uk/property-for-sale/10157513/
"Bradbury Street, Ashton under Lyne, Greater Manchester, OL7 
 2  1  1","£88,000",https://edwardmellor.co.uk/property-for-sale/10157606/
"Chelmsford Road, Edgeley, Stockport, Cheshire, SK3 
 2  1  1 

Virtual Viewing","£147,000",https://edwardmellor.co.uk/property-for-sale/10157507/
"Chester Road, Stretford, Manchester, Greater Manchester, M32 
 2  1 

Virtual Viewing","£175,000",https://edwardmellor.co.uk/property-for-sale/10157235/
"Christy Close, Hyde, Greater Manchester, SK14 
 1  1  1 

Virtual Viewing","£76,000",https://edwardmellor.co.uk/property-for-sale/10157566/
"Cinnamon Close, Northenden, Manchester, M22 
 5  3  1 

Virtual Viewing","£280,000",https://edwardmellor.co.uk/property-for-sale/10156883/
"Clogwyn, Ceidio, Pwllheli, Gwynedd, LL53 
 3  1  2","£85,000",https://edwardmellor.co.uk/property-for-sale/10153971/
"Constantine Street, Oldham, Greater Manchester, OL4 
 3  1  1","£110,000",https://edwardmellor.co.uk/property-for-sale/10150702/
"Delacourt Road, Fallowfield, Greater Manchester, M14 
 3  1  2","£175,000",https://edwardmellor.co.uk/property-for-sale/10157613/
"Demesne Drive, Stalybridge, Greater Manchester, SK15 
 3  1  1 

Virtual Viewing","£135,000",https://edwardmellor.co.uk/property-for-sale/10157170/
"Dona Street 45 & 45a, Stockport, Cheshire, SK1 
 2  2  2 

Virtual Viewing","£115,000",https://edwardmellor.co.uk/property-for-sale/10155265/
"Edmund Street, Salford, Greater Manchester, M6 
 3  1  2","£140,000",https://edwardmellor.co.uk/property-for-sale/10157409/
"Elmfield Court, Edgeley, Stockport, Manchester, SK3 
 1  1  1","£99,000",https://edwardmellor.co.uk/property-for-sale/10155891/
